"","end_location_lat","end_location_long","start_location_lat","start_location_long","total_rides","start_dist_from_bus","end_dist_from_bus","start_lat_bin","start_long_bin","start_grid_cell"
"257",30.2,-97.71,30.22,-97.74,10,1068.85449395561,1464.57500275289,2,2,"2-2"
"258",30.2,-97.71,30.23,-97.72,52,529.768493036874,1464.57500275289,2,2,"2-2"
"259",30.2,-97.71,30.23,-97.71,13,758.752288231866,1464.57500275289,2,2,"2-2"
"260",30.2,-97.71,30.24,-97.73,36,848.513132666472,1464.57500275289,3,2,"3-2"
"261",30.2,-97.71,30.27,-97.74,12,670.185417296239,1464.57500275289,3,2,"3-2"
"262",30.2,-97.7,30.2,-97.67,26,3878.94046085171,2394.90433535298,2,3,"2-3"
"263",30.2,-97.7,30.26,-97.74,14,784.850728204676,2394.90433535298,3,2,"3-2"
"264",30.2,-97.7,30.26,-97.73,11,450.62176487427,2394.90433535298,3,2,"3-2"
"265",30.2,-97.7,30.27,-97.75,32,277.629227185794,2394.90433535298,3,1,"3-1"
"266",30.2,-97.7,30.27,-97.74,33,670.185417296239,2394.90433535298,3,2,"3-2"
"267",30.2,-97.69,30.27,-97.74,16,670.185417296239,2603.21089940594,3,2,"3-2"
"268",30.2,-97.67,30.15,-97.74,12,2244.25409166681,3878.94046085171,2,2,"2-2"
"269",30.2,-97.67,30.15,-97.64,16,9503.31738677415,3878.94046085171,2,3,"2-3"
"270",30.2,-97.67,30.16,-97.78,13,3830.78776938193,3878.94046085171,2,1,"2-1"
"271",30.2,-97.67,30.16,-97.74,13,1372.74118027867,3878.94046085171,2,2,"2-2"
"272",30.2,-97.67,30.17,-97.78,41,3023.07098233708,3878.94046085171,2,1,"2-1"
"273",30.2,-97.67,30.18,-97.78,29,1927.74470809872,3878.94046085171,2,1,"2-1"
"274",30.2,-97.67,30.18,-97.77,24,1530.18095132315,3878.94046085171,2,1,"2-1"
"275",30.2,-97.67,30.18,-97.7,25,5729.98140123956,3878.94046085171,2,2,"2-2"
"276",30.2,-97.67,30.19,-97.79,21,322.755752052417,3878.94046085171,2,1,"2-1"
"277",30.2,-97.67,30.19,-97.78,18,809.106599196678,3878.94046085171,2,1,"2-1"
"278",30.2,-97.67,30.19,-97.77,21,499.55325173355,3878.94046085171,2,1,"2-1"
"279",30.2,-97.67,30.19,-97.74,38,1338.93229492025,3878.94046085171,2,2,"2-2"
